N,P,K,ph,crop
65.59,50.9,47.36,6.47,jute
74.87,39.56,40.76,5.97,jute
80.19,45.39,37.94,7.08,jute
60.62,45.81,41.12,6.06,jute
72.14,44.78,34.32,6.81,jute
84.61,48.22,46.54,6.36,jute
84.02,49.17,40.93,6.13,jute
80.25,47.96,36.65,6.8,jute
83.29,45.12,39.17,6.57,jute
79.29,42.32,37.36,7.04,jute
81.33,51.49,46.56,6.19,jute
76.11,47.75,38.99,6.4,jute
78.69,40.91,40.78,5.74,jute
74.21,45.03,42.87,5.83,jute
85.58,37.28,36.3,7.42,jute
87.13,46.18,40.97,7.53,jute
86.28,45.01,41.37,6.74,jute
75.55,43.13,32.23,6.37,jute
72.28,53.92,41.26,6.58,jute
85.66,40.22,39.77,7.05,jute
81.26,49.53,40.65,6.49,jute
79.97,56.93,40.18,6.8,jute
74.2,51.39,41.3,6.69,jute
80.55,45.84,46.69,6.47,jute
71.49,40.33,34.1,6.49,jute
81.8,39.19,38.29,6.82,jute
86.27,43.94,43.33,6.31,jute
87.79,42.56,42.4,6.88,jute
82.25,42.4,42.3,6.51,jute
69.71,44.37,53.77,6.75,jute
79.18,45.49,43.07,7.25,jute
90.84,48.43,45.65,6.63,jute
72.79,39.81,38.46,7.07,jute
77.64,42.59,35.04,5.98,jute
86.48,45.2,38.43,6.51,jute
81.7,45.02,43.56,6.71,jute
92.88,55.18,42.03,7.47,jute
73.6,47.16,42.02,5.92,jute
72.06,37.93,38.93,6.66,jute
85.34,48.09,38.13,7.28,jute
70.82,48.73,39.1,6.39,jute
76.82,45.37,43.62,6.61,jute
77.61,39.93,44.2,6.83,jute
84.22,54.79,34.97,6.77,jute
81.69,40.65,43.81,7.33,jute
80.74,49.3,36.75,6.88,jute
75.59,47.0,42.34,7.23,jute
85.29,49.0,39.04,6.56,jute
102.15,54.53,47.83,6.4,jute
82.15,48.81,37.91,6.61,jute
78.6,43.21,40.89,6.24,jute
70.21,51.53,43.03,6.89,jute
74.18,42.84,35.63,6.55,jute
76.72,46.82,39.64,6.43,jute
74.79,39.53,38.67,6.9,jute
77.9,40.83,37.43,6.24,jute
88.67,46.26,37.8,7.01,jute
98.13,28.14,31.61,6.14,coffee
107.95,28.84,33.3,6.21,coffee
98.64,24.99,27.78,6.7,coffee
104.79,22.21,29.76,7.18,coffee
102.08,23.49,34.65,6.46,coffee
105.46,28.2,25.59,6.51,coffee
101.66,26.83,37.22,6.61,coffee
91.02,22.12,24.64,6.93,coffee
107.05,27.85,28.62,6.51,coffee
100.47,26.73,26.2,6.49,coffee
105.74,23.31,38.75,6.16,coffee
105.14,26.52,27.99,6.47,coffee
96.36,26.72,28.0,7.17,coffee
95.51,25.53,28.52,6.74,coffee
104.93,31.71,30.38,6.4,coffee
99.18,20.39,28.69,7.19,coffee
106.62,20.06,29.47,6.47,coffee
99.93,28.01,15.88,7.27,coffee
107.14,28.38,30.23,7.26,coffee
103.54,29.62,30.07,6.72,coffee
102.73,25.84,34.15,6.1,coffee
98.76,24.33,35.24,7.62,coffee
102.39,27.97,29.25,6.85,coffee
108.16,26.23,33.26,6.57,coffee
100.67,34.2,25.59,7.08,coffee
104.19,26.7,33.07,6.98,coffee
101.28,27.79,27.71,7.22,coffee
101.75,37.9,25.26,6.44,coffee
111.34,27.22,29.26,6.83,coffee
108.21,30.22,35.6,6.23,coffee
101.48,30.59,30.72,6.97,coffee
102.29,30.93,35.99,6.69,coffee
96.79,29.16,27.01,6.81,coffee
99.96,28.78,34.19,6.64,coffee
102.86,28.4,27.39,6.6,coffee
106.1,25.7,30.9,6.35,coffee
105.5,29.3,30.87,7.02,coffee
94.34,36.11,32.65,7.3,coffee
106.86,32.84,31.0,6.48,coffee
100.47,29.22,27.04,6.92,coffee
95.08,31.42,33.52,6.87,coffee
109.02,24.52,36.93,6.7,coffee
109.78,26.96,27.66,6.09,coffee
102.58,31.79,22.66,6.18,coffee
105.25,33.95,32.0,6.39,coffee
105.6,24.92,28.68,5.84,coffee
109.37,26.07,29.48,7.26,coffee
105.37,36.73,32.22,6.85,coffee
93.03,28.39,28.17,6.69,coffee
113.06,35.29,28.92,5.82,coffee
107.39,28.83,29.6,5.97,coffee
97.94,28.98,35.88,6.7,coffee
94.82,26.78,30.12,7.49,coffee
104.03,31.77,25.06,6.42,coffee
99.33,33.43,25.22,7.05,coffee
102.98,23.86,30.56,6.51,coffee
105.46,26.59,25.48,6.72,coffee
97.6,31.66,23.75,7.19,coffee
94.3,27.48,32.54,6.56,coffee
103.31,26.03,32.74,6.42,coffee
97.8,32.04,28.53,7.27,coffee
101.88,32.41,31.17,6.72,coffee
92.94,26.2,30.75,7.14,coffee
99.49,28.85,32.41,6.43,coffee
105.29,23.17,32.42,7.26,coffee
104.64,24.42,19.58,6.81,coffee
96.27,28.5,29.04,6.87,coffee
93.99,28.13,32.07,6.75,coffee
101.09,24.13,28.36,6.5,coffee
104.37,25.14,30.14,6.7,coffee
103.43,23.74,33.0,6.52,coffee
97.93,29.82,30.32,7.08,coffee
102.79,20.13,36.03,6.62,coffee
110.01,23.95,34.51,6.1,coffee
102.23,20.55,29.53,6.03,coffee
91.2,29.68,29.21,6.01,coffee
102.22,20.79,18.6,6.95,coffee
113.26,28.13,28.69,6.24,coffee
93.28,34.56,24.59,6.82,coffee
101.18,34.69,30.88,6.75,coffee
99.64,20.78,30.61,6.67,coffee
101.58,29.19,32.78,6.88,coffee
102.17,24.04,35.59,6.76,coffee
107.84,23.23,29.89,5.62,coffee
101.51,27.55,39.12,6.57,coffee
108.66,32.91,30.93,6.87,coffee
100.29,30.4,24.76,7.36,coffee
98.9,25.14,27.75,7.37,coffee
96.98,30.82,28.51,6.15,coffee
90.1,19.03,32.37,6.56,coffee
102.65,24.99,26.21,6.07,coffee
113.32,24.7,28.81,7.31,coffee
103.75,28.31,29.36,7.11,coffee
105.12,27.19,28.21,6.84,coffee
98.52,27.43,33.25,6.77,coffee
99.53,27.3,32.57,7.25,coffee
106.91,28.09,34.67,7.18,coffee
113.05,30.16,28.68,7.16,coffee
109.93,28.6,34.81,6.88,coffee
105.83,26.86,24.54,6.56,coffee
